NAME,B19013_001E,state,place
"Woonsocket city, South Dakota",46932,46,72700
"Platte city, South Dakota",46250,46,50260
"Watertown city, South Dakota",48485,46,69300
"Piedmont city, South Dakota",73000,46,49500
"Worthing city, South Dakota",70469,46,72820
"Summerset city, South Dakota",80139,46,62155
"Brant Lake city, South Dakota",103250,46,07040
"Iroquois city, South Dakota",49583,46,32020
"Conde city, South Dakota",34792,46,13700
"Hartford city, South Dakota",69337,46,27540
"Valley Springs city, South Dakota",49519,46,66260
"Newell city, South Dakota",45750,46,44860
"Menno city, South Dakota",34211,46,41980
"Parkston city, South Dakota",49097,46,48460
"Timber Lake city, South Dakota",45313,46,63620
"Milbank city, South Dakota",51178,46,42260
"Armour city, South Dakota",46250,46,02260
"Flandreau city, South Dakota",43990,46,21540
"Britton city, South Dakota",59821,46,07380
"Veblen city, South Dakota",45500,46,66540
"Custer city, South Dakota",48581,46,15140
"Webster city, South Dakota",31078,46,69780
"Bee Cave city, Texas",101765,48,07156
"Burton city, Texas",54375,48,11536
"Rosenberg city, Texas",50637,48,63284
"Old River-Winfree city, Texas",50982,48,53824
"Lumberton city, Texas",65929,48,45120
"Sundown city, Texas",52059,48,71060
"Centerville city, Texas",35833,48,13900
"Leona city, Texas",64500,48,42340
"Hawkins city, Texas",43750,48,32816
"Crane city, Texas",70483,48,17516
"Paradise city, Texas",48214,48,55056
"O'Donnell city, Texas",39861,48,53436
"Kaufman city, Texas",37978,48,38488
"Perryton city, Texas",47263,48,56912
"Muenster city, Texas",67067,48,49932
"Milano city, Texas",27614,48,48336
"Eagle Lake city, Texas",48750,48,21844
"Hallsburg city, Texas",79028,48,31880
"Leroy city, Texas",68182,48,42400
"Edom city, Texas",60313,48,22744
"Grand Saline city, Texas",32500,48,30476
"Los Ybanez city, Texas",-666666666,48,44170
"Shiner city, Texas",46725,48,67640
"Ackerly city, Texas",27083,48,01108
"Sterling City city, Texas",45938,48,70232
"Cranfills Gap city, Texas",41250,48,17540
"Morgan city, Texas",35568,48,49356
"Rose City city, Texas",58690,48,63200
"Graford city, Texas",46000,48,30380
"Presidio city, Texas",22959,48,59396
"Austwell city, Texas",49125,48,05036
"Prairie View city, Texas",20643,48,59336
"Electra city, Texas",29490,48,22984
"Iowa Park city, Texas",48434,48,36104
"Scotland city, Texas",62500,48,66284
"Hereford city, Texas",49881,48,33320
"Brookshire city, Texas",37069,48,10636
"Cleburne city, Texas",49046,48,15364
"Grandview city, Texas",43444,48,30512
"Fritch city, Texas",53224,48,27696
"Deport city, Texas",36250,48,20020
"Wharton city, Texas",37213,48,78136
"Bangs city, Texas",42667,48,05552
"Anderson city, Texas",54167,48,03192
"Groves city, Texas",52992,48,31328
"Rio Grande City city, Texas",35812,48,62168
"Hamlin city, Texas",55094,48,31964
"Odessa city, Texas",61541,48,53388
"Petersburg city, Texas",47434,48,56996
"Dickens city, Texas",61500,48,20332
"Henrietta city, Texas",40223,48,33284
"O'Brien city, Texas",-666666666,48,53304
"Point city, Texas",25972,48,58532
"New Waverly city, Texas",25074,48,51396
"Big Lake city, Texas",59904,48,08212
"Eldorado city, Texas",54808,48,22960
"Mineral Wells city, Texas",39292,48,48684
"Quitaque city, Texas",34063,48,60176
"Garden Ridge city, Texas",126382,48,28248
"Mount Calm city, Texas",28438,48,49692
"Mason city, Texas",31279,48,46968
"Rankin city, Texas",61094,48,60668
"Cooper city, Texas",29594,48,16564
"Alamo city, Texas",36239,48,01576
"Portsmouth city, Virginia",48727,51,64000
"Manassas Park city, Virginia",79131,51,48968
"Beckley city, West Virginia",39695,54,05332
"Weston city, West Virginia",34592,54,85972
"McMechen city, West Virginia",36349,54,50260
"Huntington city, West Virginia",30359,54,39460
"Oak Hill city, West Virginia",40110,54,60028
"Belmont city, West Virginia",40156,54,06004
"Morgantown city, West Virginia",37900,54,55756
"Spencer city, West Virginia",25337,54,75820
"Pleasant Valley city, West Virginia",51492,54,64228
"Follansbee city, West Virginia",50655,54,28204
"Shinnston city, West Virginia",55750,54,73636
"Keystone city, West Virginia",39375,54,43516
"Point Pleasant city, West Virginia",31122,54,64708
"Montgomery city, West Virginia",19786,54,55468
"Buckhannon city, West Virginia",34423,54,11188
"Ceredo city, West Virginia",55179,54,14308
"Philippi city, West Virginia",22225,54,63292
"Elkins city, West Virginia",39470,54,24580
"Dunbar city, West Virginia",42438,54,22564
"Waukesha city, Wisconsin",61380,55,84250
"Mequon city, Wisconsin",109488,55,51150
"Lake Geneva city, Wisconsin",49688,55,41450
"Peshtigo city, Wisconsin",43636,55,62175
"Burlington city, Wisconsin",56055,55,11200
"Mayville city, Wisconsin",44953,55,50200
"Kaukauna city, Wisconsin",58077,55,38800
"Antigo city, Wisconsin",35908,55,02250
"Columbus city, Wisconsin",59824,55,16450
"Ripon city, Wisconsin",52240,55,68175
"Crandon city, Wisconsin",39597,55,17425
"South Milwaukee city, Wisconsin",51484,55,75125
"Wauwatosa city, Wisconsin",74929,55,84675
"Tomahawk city, Wisconsin",39194,55,80125
"Fountain City city, Wisconsin",49844,55,26850
"Two Rivers city, Wisconsin",41430,55,81325
"Aliceville city, Alabama",24097,01,01228
"Montgomery city, Alabama",44339,01,51000
"Bridgeport city, Alabama",30852,01,09328
"Fayette city, Alabama",32074,01,25840
